t a ³	t a̠ ³
ˀl o̠ ³	l o̠ ¹
ɣ a̠ ³	dz ɛ̠ ³
ˀm ŋ o ²	m o ²
m i ¹	m i ¹
n i̠ ¹	n i̠ ¹
b y̠ ³	b y̠ ³
g i ¹	g i ¹
m o ³	m o ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
t a ¹	t a ⁵⁵
b a ŋ ³	p ɛ ³
pʰ i ²	pʰ j y ²
dz ɨ ³	dz ɿ ³
m e ¹	m i ¹
g a ²	g a ²
pʰ u ²	d u ²
ɣ a ²	ɣ a ²
pʰ i ³	pʰ e ¹
m u ²	m j a ²
a ²	a ²
pʰ i ²	p i ²
b a ¹	tʃʰ i̠ ³
a ¹	a ¹
tʃʰ e ¹	kʰ j e ¹
v ɛ ¹	v ɛ ¹
m a ³	m a ³
pʰ a ²	pʰ a ²
p a̠ ³	p a̠ ³
kʰ ɛ ²	kʰ j ɛ ²
a ¹	a ¹
m a ²	m a ²
l a ²	l a ²
kʰ u ¹	kʰ e̠ ¹
k u ¹	k a ¹
tʰ u ³	tʰ u ³
k u ¹	k u ¹
tʰ ɛ ³	tʰ ɛ ³
d u ¹	d a ŋ ¹
l e̠ ³	l e̠ ³
a ¹	a ¹
p a̠ ³	p a̠ ³
g u ³	g a ŋ ³
b ɨ ¹	b ɨ̠ ¹
ʃ y ¹	s y ¹
ɣ i ¹	ɣ i ¹
pʰ i̠ ³	pʰ i̠ ³
a ¹	a ¹
k y ¹	x y ¹
d u ³	d u ³
tsʰ y ¹	tsʰ y ¹
s e̠ ²	ʃ y ¹
d i ¹	d i ¹
p a ³	p a̠ ³
m ɨ ¹	m ɨ ¹
s ɛ ²	s ɛ ²
k u ³	l u ³
tʃʰ a ²	dz a ²
m a ²	m a ²
k o ¹	ŋ o ¹
a ¹	a ¹
a ŋ ¹	a ²
dz e ²	dz i ²
b e̠ ²	b i ²
ˀn e ¹	n e ¹
n i ²	n u ²
ts ɨ ²	ts i ²
ˀm j a ²	ˀm a ²
ɣ ɨ̠ ³	ɣ i̠ ³
l y ²	ˀl y ²
d e ³	d ɛ̠ ³
tʃʰ i ³	tʃʰ e̠ ³
b j ɛ ²	b o ¹
n i ¹	n i ¹
s i̠ ¹	s i̠ ¹
ˀn e ¹	n e̠ ³
tʃʰ ɛ ²	tʃʰ ɛ ²
ts ɿ ²	ts i ²
n a ¹	ˀn a ¹
tʃʰ a ¹	tʃʰ u ¹
k u ²	k j e ²
dz a ¹	dz a ¹
dz i ³	dz i ³
m u ³	m o ²
ʃ ɛ ¹	ʃ ɛ ¹
a ¹	a ¹
n o̠ ³	ˀn i ³
m a ¹	m a ¹
a ¹	a ¹
m j o ²	m o ²
s ɛ ²	s ɛ ²
l a ³	l a ³
n y ¹	n y ¹
g o ³	g u̠ ³
b ɛ ¹	b ɛ ¹
ɣ ɛ ³	p ɛ ¹
pʰ y ²	pʰ y ²
pʰ ɛ ¹	pʰ e̠ ¹
p a̠ ³	p a̠ ³
f u ³	pʰ u ²
a ¹	a ¹
d y ²	d y ²
g u ²	g j u ²
a ¹	a ¹
s i ²	s i ²
d a ¹	d a ¹
tʃʰ i ²	tʃʰ e ¹
p ɨ ¹	p ɨ ¹
h i ¹	h e ¹
tʰ u ¹	tʰ u ¹
kʰ a ²	kʰ a ²
s u ³	g o̠ ³
tsʰ i̠ ²	kʰ j i ²
