x a ¹	k u ³
pʰ ɨ ²	pʰ ɨ ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ɣ i ³	k o̠ ¹
pʰ e̠ ³	pʰ e̠ ³
d i ³	d e ³
t a ²	t a ²
p a̠ ³	p a̠ ³
m ɛ ²	m ɛ ²
ˀn i ²	n i ²
n̩ ²	n i ²
tʃ a̠ ³	tʃ ɛ̠ ³
ɣ i̠ ³	ʃ i ³
a ¹	a ¹
l a ²	l a ²
ts a ¹	ts a ¹
ŋ a ²	ŋ a ¹
ɣ a ŋ ¹	ʃ u ³
ʃ ɨ ²	ʃ ɨ ²
s j a ¹	s y ¹
k u ¹	k u ¹
m e ¹	m i ¹
tʰ u ŋ ²	tʰ u ²
n̩ ²	n u ²
g y ¹	g y ¹
pʰ u ³	f u ³
b y ¹	ˀm u ¹
a ¹	a ¹
ˀv e̠ ¹	ˀv e̠ ¹
b y ¹	b y ¹
ˀm e̠ ³	ˀm j e̠ ¹
k a ³	k a ¹
ˀn e ²	n e̠ ³
ts i ¹	ts i ¹
b a̠ ³	p a̠ ³
d i ¹	dz ɿ ³
ˀv ɛ̠ ¹	pʰ u ¹
d o ²	d u ²
n e̠ ²	n i ²
ts o̠ ³	ʒ i̠ ³
x i ²	x ɨ ²
p i ²	p j ɨ ²
g a ¹	x i ³
g ɛ̠ ²	k a ŋ ²
kʰ i̠ ²	kʰ i ²
b a ŋ ²	tʰ u ²
ɲ a̠ ³	ɲ a̠ ³
kʰ i ¹	kʰ i ¹
k o̠ ³	k u ³³
b ɛ̠ ¹	b ɛ̠ ¹
pʰ i ²	pʰ i ²
k ɨ ²	k j o ²
t a ³	t a ³
tʃ ɛ ¹	ts u ¹
ˀl u ¹	ˀl u ¹
kʰ ɛ ³	g a ³
d a ²	d a ²
l u ³	l e̠ ³
ts i ¹	ts u ¹
ɣ ɛ ¹	ʃ ɛ ¹
l a ²	l a ²
n u ²	n u ²
m a ³	m o ²
ʃ a ¹	h a ¹
m o̠ ²	m j u ²
a ¹	a ¹
ɣ e̠ ¹	x i ¹
kʰ o̠ ³	kʰ o̠ ³
pʰ ɛ ²	pʰ ɛ ²
l y ¹	l y ¹
k a ³	k o̠ ³
s i ¹	s i̠ ¹
ʃ i ²	ʃ ɨ ²
s i̠ ¹	s i̠ ¹
l o̠ ³	l o̠ ³
m ɛ̠ ²	m ɛ ²
m u ³	m u ³
b a ¹	tʃʰ i̠ ³
dz y ¹	dz y ¹
ɣ u ¹	h e ¹
a ¹	a ¹
z a ²	z a ²
ɣ ŋ ɛ ŋ ³	x i̠ ³
g u ³	g o ŋ ³
a ¹	a ¹
m i ¹	m e ¹
b e̠ ¹	k u ²
ˀl y ³	ˀl y ³
d a ²	d a ²
ɣ i ³	ɣ i ¹
p ɨ ¹	p ɨ ¹
k o̠ ³	g o̠ ³
m ɨ ²	m ɨ ²
ɣ a ³	ɣ a ŋ ²
a ¹	a ¹
k i ¹	k i ¹
l a ¹	l a ¹
p i ²	p i ²
ʃ i ³	ʃ i̠ ¹
t o̠ ³	d o̠ ³
t o̠ ³	t o̠ ³
s ɛ ²	s ɛ ²
p u ²	p i ²
v ¹	v u ¹
b y ²	kʰ y ²
ˀm a ²	ˀm a ²
ʒ o̠ ³	ʒ o̠ ³
b o̠ ³	b o̠ ¹
l y̠ ³	ˀl y̠ ³
l a ²	l a ²
ˀn a ²	ˀn a ²
ɣ a ³	ts a ³
ɣ a ³	ɣ a ŋ ²
ɣ e̠ ¹	ʒ e ¹
z a ²	s u ¹
t i ¹	t i ¹
ɣ i ¹	ɣ ɨ ¹
pʰ e ²	pʰ e ²
tʃʰ i ²	tsʰ ɿ ²
a ²	a ²
m a ¹	m a ¹
t o̠ ³	t o̠ ³
k e̠ ²	k j ɛ ²
ˀm j ɛ ²	ˀm ɛ ²
ʃ i ¹	ʃ i̠ ¹
dʒ o̠ ³	dʒ o̠ ³
m u ¹	m u ¹
ˀl a̠ ³	l e̠ ³
