i̠ i̠ ¹	ˀm j y̠ ¹
g i ¹	tsʰ i̠ ³
s a ²	s a ²
kʰ i ¹	kʰ i ¹
ʃ a ŋ ¹	ʃ u ³
² u ¹	ˀn i ¹
dz e ²	dz i ²
ˀm ɛ ¹	ˀm ɛ ¹
d u ²	d u ²
m e ¹	m i ¹
t e ¹	t e ²
t o̠ ³	t o̠ ³
d ɛ ²	d e ²
ʒ e̠ ¹	ɣ e̠ ¹
¹ y ²	d u ²
l u ²	l u ²
kʰ u ¹	kʰ u ¹
p a ¹	p e ¹
pʰ j ɛ ²	pʰ a ¹
k o̠ ¹	k u ²
g a ¹	g j a ¹
² i ³	f u ³
s i ²	ʃ ɨ ²
ɣ ɛ ¹	g ɛ ²
tʰ y ¹	tʰ y ¹
ɣ ɛ ¹	ɣ ɛ ¹
v i̠ ²	v i ²
d e̠ ¹	d e̠ ¹
ʒ e ³	ʒ e̠ ³
v e̠ ³	v e̠ ³
tʰ ¹ a ŋ ²	tʰ o ²
¹ e̠ ¹	pʰ e̠ ¹
x a̠ ³	x a̠ ³
tʰ ɛ ³	tʰ ɛ ³
s ɛ ¹	ʃ ɛ ¹
ts i̠ ²	ts e ²
t u ¹	tʃʰ ɛ ²
ʃ a ¹	ʃ a ¹
b a ²	b o ³
p a̠ ³	p a̠ ³
ŋ i̠ ³	n e ²
l a ²	l a ²
² ɨ ¹	g ɨ ¹
v e̠ ³	v e̠ ³
z e̠ ³	z e̠ ³
l i ²	ˀl i ²
ɣ i ¹	ɣ i ¹
h e̠ ¹	h ɛ̠ ¹
pʰ i ¹	pʰ e̠ ¹
b y ²	b e ²
s e̠ ³	s e̠ ³
a ¹	a ¹
pʰ ɛ ¹	pʰ ɛ ¹
ɣ i ¹	ɣ i ¹
g o ²	g o ²
h e̠ ¹	h ɛ̠ ¹
kʰ ɛ ¹	kʰ ɛ ¹
p a ŋ ¹	p a ŋ ¹
z ɛ ¹	k a ²
n y ²	n y ²
ɣ i ¹	ɣ i ¹
m ɛ ²	m ɛ ²
s y̠ ¹	s i ¹
tʃ a ¹	tʃ ɛ ¹
p i ²	p j ɨ ²
n a ¹	n a ¹
z i̠ ³	z i̠ ³
m o ³	m u ³
dʒ o̠ ³	dʒ o̠ ³
kʰ ɛ ²	kʰ j ɛ ²
ɣ i ¹	ɣ i ¹
m i̠ ¹	m i̠ ¹
a ¹	a ¹
l i̠ ³	ˀl i ³
h ² ¹	h y̠ ³
tsʰ i̠ ²	tsʰ ɿ ²
ˀɲ o ¹	ˀn y ¹
ˀn e̠ ³	n i̠ ¹
a ¹	a ¹
pʰ a̠ ²	pʰ a ²
tsʰ y ¹	tsʰ y ¹
s i̠ ¹	s i̠ ¹
ˀm j a ³	ˀm a ³
pʰ e̠ ²	pʰ e ²
s ɛ ²	s ɛ ²
g i̠ ²	g ɨ ²
l a ³	l e̠ ³
v ¹	v u ¹
d i ¹	d i ¹
d e̠ ¹	d e̠ ¹
b y ²	b y ²
m a ²	m a ²
³ o ³	t ɛ ¹
dz a ²	dz a ²
n y ¹	n y ¹
l a ³	l a ³
kʰ ɛ ¹	kʰ a̠ ¹
t a ¹	t j ɛ ³³
ts a ¹	ts a ¹
b ɨ ¹	b ɨ̠ ¹
tʃʰ i ²	tʰ i ²
² i ³	f u ³
ʃ a ¹	ʃ a ³
d o̠ ²	d a ²
i̠ ¹	i ²
ŋ a ¹	ŋ j a̠ ¹
l o̠ ³	l o̠ ³
h e ¹	h e ¹
h e ¹	h e ¹
ts a ³	ts a ³
tsʰ ɨ ¹	tʃʰ ɨ ¹
g o̠ ³	g o̠ ¹
a ¹	a ¹
b o ³	b y̠ ³
l a ³	l e̠ ³
